latitud,longitud,fecha,temperatura_2m_C,punto_rocio_2m_C,precipitacion_total_mm,radiacion_solar_whm2,radiacion_solar_prom_4d,radiacion_solar_acum_4d,radiacion_solar_prom_7d,radiacion_solar_acum_7d,radiacion_solar_prom_14d,radiacion_solar_acum_14d,radiacion_solar_prom_21d,radiacion_solar_acum_21d,radiacion_solar_prom_28d,radiacion_solar_acum_28d,temperatura_2m_prom_4d,temperatura_2m_acum_4d,temperatura_2m_prom_7d,temperatura_2m_acum_7d,temperatura_2m_prom_14d,temperatura_2m_acum_14d,temperatura_2m_prom_21d,temperatura_2m_acum_21d,temperatura_2m_prom_28d,temperatura_2m_acum_28d,precipitacion_acum_1d,precipitacion_acum_2d,precipitacion_acum_3d,precipitacion_acum_4d,precipitacion_acum_5d
4.8,-75.75,2024-01-01,20.46676,18.535639,2.0413303,200.22234,200.2223358154297,200.2223358154297,200.2223358154297,200.2223358154297,200.2223358154297,200.2223358154297,200.2223358154297,200.2223358154297,200.2223358154297,200.2223358154297,20.466760635375977,20.466760635375977,20.466760635375977,20.466760635375977,20.466760635375977,20.466760635375977,20.466760635375977,20.466760635375977,20.466760635375977,20.466760635375977,2.041330337524414,2.041330337524414,2.041330337524414,2.041330337524414,2.041330337524414
4.8,-75.75,2024-01-02,20.67604,18.638596,0.72371835,210.27953,205.2509307861328,410.5018615722656,205.2509307861328,410.5018615722656,205.2509307861328,410.5018615722656,205.2509307861328,410.5018615722656,205.2509307861328,410.5018615722656,20.57140064239502,41.14280128479004,20.57140064239502,41.14280128479004,20.57140064239502,41.14280128479004,20.57140064239502,41.14280128479004,20.57140064239502,41.14280128479004,0.7237183451652527,2.7650486826896667,2.7650486826896667,2.7650486826896667,2.7650486826896667
4.8,-75.75,2024-01-03,20.709381,18.461853,2.1137042,234.83864,215.1134999593099,645.3404998779297,215.1134999593099,645.3404998779297,215.1134999593099,645.3404998779297,215.1134999593099,645.3404998779297,215.1134999593099,645.3404998779297,20.617394129435223,61.852182388305664,20.617394129435223,61.852182388305664,20.617394129435223,61.852182388305664,20.617394129435223,61.852182388305664,20.617394129435223,61.852182388305664,2.113704204559326,2.837422549724579,4.878752887248993,4.878752887248993,4.878752887248993
4.8,-75.75,2024-01-04,20.399511,17.801239,1.2091347,247.21,223.13762664794922,892.5505065917969,223.13762664794922,892.5505065917969,223.13762664794922,892.5505065917969,223.13762664794922,892.5505065917969,223.13762664794922,892.5505065917969,20.562923431396484,82.25169372558594,20.562923431396484,82.25169372558594,20.562923431396484,82.25169372558594,20.562923431396484,82.25169372558594,20.562923431396484,82.25169372558594,1.2091346979141235,3.3228389024734497,4.046557247638702,6.0878875851631165,6.0878875851631165
4.8,-75.75,2024-01-05,19.777765,17.25447,0.81173015,228.97157,230.32493591308594,921.2997436523438,224.30441589355468,1121.5220794677734,224.30441589355468,1121.5220794677734,224.30441589355468,1121.5220794677734,224.30441589355468,1121.5220794677734,20.390674591064453,81.56269836425781,20.405891799926756,102.02945899963379,20.405891799926756,102.02945899963379,20.405891799926756,102.02945899963379,20.405891799926756,102.02945899963379,0.811730146408081,2.0208648443222046,4.134569048881531,4.8582873940467834,6.8996177315711975
4.8,-75.75,2024-01-06,20.013891,17.3216,0.57885134,265.89404,244.22856521606445,976.9142608642578,231.23602040608725,1387.4161224365234,231.23602040608725,1387.4161224365234,231.23602040608725,1387.4161224365234,231.23602040608725,1387.4161224365234,20.22513723373413,80.90054893493652,20.340558369954426,122.04335021972656,20.340558369954426,122.04335021972656,20.340558369954426,122.04335021972656,20.340558369954426,122.04335021972656,0.5788513422012329,1.390581488609314,2.5997161865234375,4.713420391082764,5.437138736248016
4.8,-75.75,2024-01-07,20.529505,17.368872,0.5108834,263.3471,251.35568237304688,1005.4227294921875,235.8233184814453,1650.7632293701172,235.8233184814453,1650.7632293701172,235.8233184814453,1650.7632293701172,235.8233184814453,1650.7632293701172,20.18016815185547,80.72067260742188,20.367550713675364,142.57285499572754,20.367550713675364,142.57285499572754,20.367550713675364,142.57285499572754,20.367550713675364,142.57285499572754,0.5108833909034729,1.0897347331047058,1.9014648795127869,3.1105995774269104,5.224303781986237
4.8,-75.75,2024-01-08,20.444235,18.066065,1.3553029,246.34953,251.14056396484375,1004.562255859375,242.4129180908203,1696.8904266357422,237.13909530639648,1897.1127624511719,237.13909530639648,1897.1127624511719,237.13909530639648,1897.1127624511719,20.191349029541016,80.76539611816406,20.36433274405343,142.55032920837402,20.37713623046875,163.01708984375,20.37713623046875,163.01708984375,20.37713623046875,163.01708984375,1.3553029298782349,1.8661863207817078,2.4450376629829407,3.2567678093910217,4.465902507305145
4.8,-75.75,2024-01-09,19.946014,18.128134,1.5193197,229.20174,251.19810485839844,1004.7924194335938,245.11609104701452,1715.8126373291016,236.25716654459634,2126.314498901367,236.25716654459634,2126.314498901367,236.25716654459634,2126.314498901367,20.23341131210327,80.93364524841309,20.26004328046526,141.82030296325684,20.329233805338543,182.96310424804688,20.329233805338543,182.96310424804688,20.329233805338543,182.96310424804688,1.5193196535110474,2.8746225833892822,3.385505974292755,3.964357316493988,4.776087462902069
4.8,-75.75,2024-01-10,20.050226,18.670975,2.1635096,217.50084,239.09980392456055,956.3992156982422,242.63926260811942,1698.474838256836,234.38153381347655,2343.8153381347656,234.38153381347655,2343.8153381347656,234.38153381347655,2343.8153381347656,20.24249505996704,80.96998023986816,20.165878295898438,141.16114807128906,20.301333045959474,203.01333045959473,20.301333045959474,203.01333045959473,20.301333045959474,203.01333045959473,2.1635096073150635,3.682829260826111,5.038132190704346,5.549015581607819,6.1278669238090515
