ubicacion_id,latitud,longitud,fecha_imagen,ndvi,pri,nubes_porcentaje,num_imagenes_disponibles,buffer_metros,tipo_dato,fuente
1,4.8,-75.75,2018-12-25,0.4293394024090643,0.15037025590911074,18.086027,1,500,REAL,Sentinel-2_MASIVO
2,4.8,-75.65,2018-12-25,0.7431861853876467,0.2247984693092352,18.086027,1,500,REAL,Sentinel-2_MASIVO
3,4.8,-75.55000000000001,2018-12-25,-0.02535874047319982,-0.01924091260483555,18.086027,1,500,REAL,Sentinel-2_MASIVO
4,4.8,-75.45000000000002,2018-12-25,0.34886933515437135,0.16177831060425177,18.086027,1,500,REAL,Sentinel-2_MASIVO
5,4.8,-75.35,2018-12-25,0.3599667726654574,0.16940201198207092,18.086027,1,500,REAL,Sentinel-2_MASIVO
6,4.900000000000002,-75.75,2018-12-25,0.8051190010260573,0.2493097512223924,18.086027,1,500,REAL,Sentinel-2_MASIVO
7,4.900000000000002,-75.65,2018-12-25,0.3167956395182211,0.03595069190472719,18.086027,1,500,REAL,Sentinel-2_MASIVO
8,4.900000000000002,-75.55000000000001,2018-12-25,0.8147284688144036,0.1784058823516043,18.086027,1,500,REAL,Sentinel-2_MASIVO
9,4.900000000000002,-75.45000000000002,2018-12-25,0.08414625665891384,0.004412911328661229,18.086027,1,500,REAL,Sentinel-2_MASIVO
10,4.900000000000002,-75.35,2018-12-25,-0.03659695531790404,0.024996238028699845,18.086027,1,500,REAL,Sentinel-2_MASIVO
11,5.000000000000002,-75.75,2018-12-25,0.7566812042223457,0.26567803477540214,18.086027,1,500,REAL,Sentinel-2_MASIVO
12,5.000000000000002,-75.65,2018-12-25,0.7127231714612352,0.2591324099426177,18.086027,1,500,REAL,Sentinel-2_MASIVO
13,5.000000000000002,-75.55000000000001,2018-12-25,0.7270646927936957,0.25812979692016264,18.086027,1,500,REAL,Sentinel-2_MASIVO
14,5.000000000000002,-75.45000000000002,2018-12-25,0.3567048020430916,0.08100238420656114,18.086027,1,500,REAL,Sentinel-2_MASIVO
15,5.000000000000002,-75.35,2018-12-25,0.6945098045004607,0.33073909659210227,18.086027,1,500,REAL,Sentinel-2_MASIVO
16,5.100000000000001,-75.75,2018-12-25,0.743946808473717,0.2796062654848134,18.086027,1,500,REAL,Sentinel-2_MASIVO
17,5.100000000000001,-75.65,2018-12-25,0.7282373657439138,0.2742182061613762,18.086027,1,500,REAL,Sentinel-2_MASIVO
18,5.100000000000001,-75.55000000000001,2018-12-25,0.6865791467708023,0.24598211301774908,18.086027,1,500,REAL,Sentinel-2_MASIVO
19,5.100000000000001,-75.45000000000002,2018-12-25,0.844894254887427,0.38349421517543697,18.086027,1,500,REAL,Sentinel-2_MASIVO
20,5.100000000000001,-75.35,2018-12-25,0.6771855521623233,0.3484021141017816,18.086027,1,500,REAL,Sentinel-2_MASIVO
21,5.200000000000001,-75.75,2018-12-25,0.8091354322016601,0.25745346494006355,18.086027,1,500,REAL,Sentinel-2_MASIVO
22,5.200000000000001,-75.65,2018-12-25,0.7374768563595516,0.2910623963357059,18.086027,1,500,REAL,Sentinel-2_MASIVO
23,5.200000000000001,-75.55000000000001,2018-12-25,0.7777916841303839,0.31370158070011656,18.086027,1,500,REAL,Sentinel-2_MASIVO
24,5.200000000000001,-75.45000000000002,2018-12-25,0.7475607675697876,0.35398818260943243,18.086027,1,500,REAL,Sentinel-2_MASIVO
25,5.200000000000001,-75.35,2018-12-25,0.7904960830612838,0.4356701962612066,18.086027,1,500,REAL,Sentinel-2_MASIVO
26,5.300000000000001,-75.75,2018-12-25,0.779886707685554,0.30528645787936687,18.086027,1,500,REAL,Sentinel-2_MASIVO
27,5.300000000000001,-75.65,2018-12-25,0.7531835489334244,0.3023621664870555,18.086027,1,500,REAL,Sentinel-2_MASIVO
28,5.300000000000001,-75.55000000000001,2018-12-25,0.7688535802183389,0.3387356642171232,18.086027,1,500,REAL,Sentinel-2_MASIVO
29,5.300000000000001,-75.45000000000002,2018-12-25,0.7591375105106453,0.37961832549678715,18.086027,1,500,REAL,Sentinel-2_MASIVO
30,5.300000000000001,-75.35,2018-12-25,0.7467630273196858,0.39098582765723267,18.086027,1,500,REAL,Sentinel-2_MASIVO
31,5.4,-75.75,2018-12-23,0.6840521321922914,-0.06079613327860882,16.692302,5,500,REAL,Sentinel-2_MASIVO
32,5.4,-75.65,2018-12-25,0.7171785822907418,0.2797941714500344,18.086027,2,500,REAL,Sentinel-2_MASIVO
33,5.4,-75.55000000000001,2018-12-25,0.7127799114070343,0.3060355681643536,18.086027,2,500,REAL,Sentinel-2_MASIVO
34,5.4,-75.45000000000002,2018-12-25,0.7923220940251251,0.3934002635059002,18.086027,2,500,REAL,Sentinel-2_MASIVO
35,5.4,-75.35,2018-12-25,0.7837786524676832,0.4115880200669402,18.086027,2,500,REAL,Sentinel-2_MASIVO
