id_estacion,autoridad_ambiental,estaci_n,latitud,longitud,variable,unidades,tiempo_de_exposici_n_horas,a_o,promedio,suma,no_de_datos,representatividad_temporal,excedencias_limite_actual,porcentaje_excedencias_limite,mediana,percentil_98,m_ximo,fechas_horas_del_m_ximo,m_nimo,fechas_horas_del_m_nimo,d_as_de_excedencias,c_digo_del_departamento,nombre_del_departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,ubicacion
99999,CORPOCALDAS,MALTERÍA,5.039227,-75.4282,PST,ugm3,24,2014,76.1,6864.31,86,70.0,0,0.0,80.1,130.4,132.2,2014-02-12,17.6,2014-11-06,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4282, 5.039227]}"
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM2.5,ugm3,24,2014,17.7,1768.88,100,82.0,0,0.0,17.5,32.1,36.6,2014-03-14,2.9,2014-08-17,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM10,ugm3,24,2014,25.9,2662.8,103,84.0,0,0.0,25.4,40.7,43.4,2014-04-22,8.7,2014-07-06,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
8234,CORPOCALDAS,MILÁN,5.046763,-75.480285,PM10,ugm3,24,2014,30.5,2779.95,91,75.0,0,0.0,28.8,50.9,57.7,2014-03-14,9.1,2014-12-30,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.480285, 5.046763]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PM10,ugm3,24,2014,37.1,3041.2,82,67.0,0,0.0,36.8,60.5,66.5,2014-06-28,12.6,2014-07-18,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PST,ugm3,24,2015,83.1,5974.3,70,57.0,0,0.0,86.6,117.9,127.8,2015-08-06,39.0,2015-02-04,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
99999,CORPOCALDAS,MALTERÍA,5.039227,-75.4282,PST,ugm3,24,2015,96.3,7298.33,73,60.0,0,0.0,98.0,152.0,160.0,2015-02-28,37.0,2015-04-26,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4282, 5.039227]}"
99999,CORPOCALDAS,LICORERA,5.068541,-75.517201,PM10,ugm3,24,2015,26.6,1969.63,74,61.0,0,0.0,23.0,52.7,57.0,2015-09-20,10.0,2015-12-03,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517201, 5.068541]}"
8234,CORPOCALDAS,MILÁN,5.046763,-75.480285,PM10,ugm3,24,2015,33.6,2419.9,72,59.0,0,0.0,34.8,50.8,54.0,2015-03-03,10.2,2015-07-25,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.480285, 5.046763]}"
8990,CORPOCALDAS,LICEO ISABEL LA CATÓLICA,5.068207,-75.511017,PM10,ugm3,24,2015,40.3,2945.15,73,60.0,0,0.0,40.9,61.6,63.0,2015-06-04,11.0,2015-03-18,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.511017, 5.068207]}"
