latitud,longitud,fecha,temperatura_2m_C,punto_rocio_2m_C,precipitacion_total_mm,radiacion_solar_whm2,radiacion_solar_prom_4d,radiacion_solar_acum_4d,radiacion_solar_prom_7d,radiacion_solar_acum_7d,radiacion_solar_prom_14d,radiacion_solar_acum_14d,radiacion_solar_prom_21d,radiacion_solar_acum_21d,radiacion_solar_prom_28d,radiacion_solar_acum_28d,temperatura_2m_prom_4d,temperatura_2m_acum_4d,temperatura_2m_prom_7d,temperatura_2m_acum_7d,temperatura_2m_prom_14d,temperatura_2m_acum_14d,temperatura_2m_prom_21d,temperatura_2m_acum_21d,temperatura_2m_prom_28d,temperatura_2m_acum_28d,precipitacion_acum_1d,precipitacion_acum_2d,precipitacion_acum_3d,precipitacion_acum_4d,precipitacion_acum_5d
5.300000000000001,-75.45000000000002,2024-01-22,16.212729,10.685597,0.29592216,259.19543,213.69493865966797,854.7797546386719,230.8916233607701,1616.2413635253906,241.61305345807756,3382.582748413086,247.97689601353235,5207.51481628418,247.41971796209162,5443.233795166016,15.620099544525146,62.480398178100586,15.677580560956683,109.74306392669678,15.215949671609062,213.02329540252686,15.25120176587786,320.27523708343506,15.247674595225941,335.4488410949707,0.2959221601486206,0.6419049501419067,0.7897284179925919,0.8726624250411987,0.9414394199848175
5.300000000000001,-75.45000000000002,2024-01-23,16.413198,9.104136,0.019364374,255.27858,214.2469711303711,856.9878845214844,230.63982500348772,1614.478775024414,241.83707972935267,3385.7191162109375,249.26967003231957,5234.663070678711,247.76140760338825,5698.51237487793,15.767080068588257,63.06832027435303,15.817862646920341,110.72503852844238,15.340875625610352,214.77225875854492,15.278382800874256,320.8460388183594,15.298349546349566,351.86203956604004,0.01936437375843525,0.31528653390705585,0.661269323900342,0.8090927917510271,0.892026798799634
5.300000000000001,-75.45000000000002,2024-01-24,16.482443,8.121388,0.010653004,287.40445,247.0703239440918,988.2812957763672,234.20196751185827,1639.4137725830078,244.51563589913505,3423.2189025878906,251.19923400878906,5275.18391418457,249.41320101420084,5985.91682434082,16.081467151641846,64.32586860656738,15.89348670414516,111.25440692901611,15.459676265716553,216.43546772003174,15.302160399300712,321.34536838531494,15.347686767578125,368.344482421875,0.010653004050254822,0.03001737780869007,0.3259395379573107,0.6719223279505968,0.8197457958012819
5.300000000000001,-75.45000000000002,2024-01-25,16.465597,8.022014,0.010658155,290.0605,272.98473739624023,1091.938949584961,241.0747528076172,1687.5232696533203,247.82831028529577,3469.5963439941406,252.36856297084265,5299.739822387695,251.03909240722658,6275.977310180664,16.393491744995117,65.57396697998047,15.977376665387835,111.84163665771484,15.56804643358503,217.95265007019043,15.364897319248744,322.66284370422363,15.392403182983399,384.81007957458496,0.01065815519541502,0.021311159245669842,0.04067553300410509,0.3365976931527257,0.6825804831460118
5.300000000000001,-75.45000000000002,2024-01-26,16.052237,9.284068,0.06724528,253.44849,271.54800033569336,1086.1920013427734,241.1287580217634,1687.9013061523438,248.4931924002511,3478.9046936035156,252.3667994907924,5299.702789306641,251.1317614041842,6529.425796508789,16.353368759155273,65.4134750366211,16.009799548557826,112.06859683990479,15.6894839150565,219.65277481079102,15.426610674176898,323.95882415771484,15.417781389676607,400.8623161315918,0.06724528223276138,0.0779034374281764,0.08855644147843122,0.10792081523686647,0.4038429753854871
5.300000000000001,-75.45000000000002,2024-01-27,15.9841,10.847748,0.46747172,250.90938,270.4556999206543,1081.8227996826172,254.67137799944197,1782.6996459960938,250.36891174316406,3505.164764404297,251.11685979933966,5273.454055786133,251.12352498372397,6780.335174560547,16.246094226837158,64.98437690734863,16.118257522583008,112.82780265808105,15.808519908360072,221.31927871704102,15.472312927246094,324.91857147216797,15.438756165681061,416.8464164733887,0.467471718788147,0.5347170010209084,0.5453751562163234,0.5560281602665782,0.5753925340250134
5.300000000000001,-75.45000000000002,2024-01-28,16.382172,10.6102495,0.10058812,270.25806,266.1691017150879,1064.6764068603516,266.65069580078125,1866.5548706054688,250.1395220075335,3501.9533081054688,250.63013349260603,5263.232803344727,251.80690111432756,7050.593231201172,16.22102642059326,64.88410568237305,16.284639358520508,113.99247550964355,15.927863257271904,222.99008560180664,15.527426719665527,326.0759611129761,15.472449575151716,433.22858810424805,0.1005881205201149,0.5680598393082619,0.6353051215410233,0.6459632767364383,0.6566162807866931
5.300000000000001,-75.45000000000002,2024-01-29,16.478628,10.531932,0.050281495,256.63882,257.8136863708496,1031.2547454833984,266.2854657854353,1863.9982604980469,248.58854457310267,3480.2396240234375,249.83719090053015,5246.581008911133,252.5540384565081,7071.513076782227,16.224284172058105,64.89713668823242,16.322625023978098,114.25837516784668,16.00010279246739,224.00143909454346,15.584841455732073,327.28167057037354,15.519057580402919,434.53361225128174,0.05028149485588074,0.15086961537599564,0.6183413341641426,0.685586616396904,0.696244771592319
5.300000000000001,-75.45000000000002,2024-01-30,16.304535,11.482747,0.59822065,222.20148,250.00193405151367,1000.0077362060547,261.56016540527344,1830.921157836914,246.09999520438058,3445.399932861328,248.41144162132628,5216.640274047852,252.34229387555803,7065.584228515625,16.28735876083374,65.14943504333496,16.30710165841239,114.14971160888672,16.062482152666366,224.8747501373291,15.662950969877697,328.92197036743164,15.535562515258789,434.9957504272461,0.5982206463813782,0.6485021412372589,0.7490902617573738,1.2165619805455208,1.2838072627782822
5.300000000000001,-75.45000000000002,2024-01-31,15.968333,11.039174,0.35031518,264.61053,253.4272232055664,1013.7088928222656,258.30389186314176,1808.1272430419922,246.2529296875,3447.541015625,249.1117212204706,5231.346145629883,252.97539847237724,7083.3111572265625,16.283416986465454,65.13366794586182,16.233657428196498,113.63560199737549,16.063572066170828,224.8900089263916,15.717669986543202,330.0710697174072,15.535034656524658,434.98097038269043,0.3503151834011078,0.948535829782486,0.9988173246383667,1.0994054451584816,1.5668771639466286
5.300000000000001,-75.35,2024-01-01,12.820149,9.923431,1.5883123,235.71898,235.71897888183594,235.71897888183594,235.71897888183594,235.71897888183594,235.71897888183594,235.71897888183594,235.71897888183594,235.71897888183594,235.71897888183594,235.71897888183594,12.820149421691895,12.820149421691895,12.820149421691895,12.820149421691895,12.820149421691895,12.820149421691895,12.820149421691895,12.820149421691895,12.820149421691895,12.820149421691895,1.5883122682571411,1.5883122682571411,1.5883122682571411,1.5883122682571411,1.5883122682571411
5.300000000000001,-75.35,2024-01-02,13.357951,9.954183,0.7567522,228.13033,231.92465209960938,463.84930419921875,231.92465209960938,463.84930419921875,231.92465209960938,463.84930419921875,231.92465209960938,463.84930419921875,231.92465209960938,463.84930419921875,13.08905029296875,26.1781005859375,13.08905029296875,26.1781005859375,13.08905029296875,26.1781005859375,13.08905029296875,26.1781005859375,13.08905029296875,26.1781005859375,0.7567521929740906,2.3450644612312317,2.3450644612312317,2.3450644612312317,2.3450644612312317
5.300000000000001,-75.35,2024-01-03,13.370442,9.896138,1.5042716,246.8836,236.91097005208334,710.73291015625,236.91097005208334,710.73291015625,236.91097005208334,710.73291015625,236.91097005208334,710.73291015625,236.91097005208334,710.73291015625,13.182847658793131,39.548542976379395,13.182847658793131,39.548542976379395,13.182847658793131,39.548542976379395,13.182847658793131,39.548542976379395,13.182847658793131,39.548542976379395,1.5042716264724731,2.2610238194465637,3.849336087703705,3.849336087703705,3.849336087703705
5.300000000000001,-75.35,2024-01-04,12.364258,8.483867,0.18335421,265.50458,244.0593719482422,976.2374877929688,244.0593719482422,976.2374877929688,244.0593719482422,976.2374877929688,244.0593719482422,976.2374877929688,244.0593719482422,976.2374877929688,12.978200197219849,51.912800788879395,12.978200197219849,51.912800788879395,12.978200197219849,51.912800788879395,12.978200197219849,51.912800788879395,12.978200197219849,51.912800788879395,0.1833542138338089,1.687625840306282,2.4443780332803726,4.032690301537514,4.032690301537514
5.300000000000001,-75.35,2024-01-05,12.044017,8.291484,0.10478138,253.48552,248.50100708007812,994.0040283203125,245.9446014404297,1229.7230072021484,245.9446014404297,1229.7230072021484,245.9446014404297,1229.7230072021484,245.9446014404297,1229.7230072021484,12.784167051315308,51.13666820526123,12.791363525390626,63.956817626953125,12.791363525390626,63.956817626953125,12.791363525390626,63.956817626953125,12.791363525390626,63.956817626953125,0.1047813817858696,0.2881355956196785,1.7924072220921516,2.549159415066242,4.137471683323383
5.300000000000001,-75.35,2024-01-06,12.152883,6.6852417,0.010825758,277.1581,260.7579536437988,1043.0318145751953,251.146853129069,1506.881118774414,251.146853129069,1506.881118774414,251.146853129069,1506.881118774414,251.146853129069,1506.881118774414,12.482899904251099,49.931599617004395,12.684950033823648,76.1097002029419,12.684950033823648,76.1097002029419,12.684950033823648,76.1097002029419,12.684950033823648,76.1097002029419,0.01082575786858797,0.11560713965445757,0.29896135348826647,1.8032329799607396,2.55998517293483
5.300000000000001,-75.35,2024-01-07,12.3845215,5.510193,0.010152038,280.4793,269.1568794250488,1076.6275177001953,255.3372039794922,1787.3604278564453,255.3372039794922,1787.3604278564453,255.3372039794922,1787.3604278564453,255.3372039794922,1787.3604278564453,12.236419677734375,48.9456787109375,12.6420316696167,88.4942216873169,12.6420316696167,88.4942216873169,12.6420316696167,88.4942216873169,12.6420316696167,88.4942216873169,0.010152038186788559,0.02097779605537653,0.12575917784124613,0.309113391675055,1.8133850181475282
